Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID,Vehicle Type,Latitude,Longitude
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,GEM AND R CAB CORP,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,4796Taxi,Taxi,41.8781,-87.6298
INACTIVE,DODGE,GRAND CARAVAN,2011,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619,none,none,13637Medicar,Medicar,41.8781,-87.6298
REVOKED,VPG,MV-1,2011,WHITE,Compressed Natural Gas,N,DESIREE AND MONIQUE CAB CORP.,CHICAGO,IL,60641,DIS-AFFILIATED,Owner Manager,5160Taxi,Taxi,41.8781,-87.6298
REVOKED,DODGE,CARAVAN,2011,WHITE,Compressed Natural Gas,N,WEST END TAXI CORP.,CHICAGO,IL,60656,DIS-AFFILIATED,Owner Manager,1803Taxi,Taxi,41.8781,-87.6298
VIOLATION,TOYOTA,COROLLA,2017,WHITE,Compressed Natural Gas,N,PETANI CAB CORP,CHICAGO,IL,60659,Top Cab Association,Top Cab Corp.,862Taxi,Taxi,41.8781,-87.6298
VIOLATION,FORD,ESCAPE,2012,WHITE,Compressed Natural Gas,N,MCCAB I CORP.,CHICAGO,IL,60625,DIS-AFFILIATED,Owner Manager,2528Taxi,Taxi,41.8781,-87.6298
VIOLATION,CHEVROLET,IMPALA,2009,WHITE,Compressed Natural Gas,N,INF CAB CORPORATION,CHICAGO,IL,60659,DIS-AFFILIATED,Owner Manager,4499Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,MONETA TAXI INC.,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,2394Taxi,Taxi,41.8781,-87.6298
VIOLATION,DODGE,GRAND CARAVAN,2013,WHITE,Compressed Natural Gas,Y,MIRZASULEMAN CORP,CHICAGO,IL,60656,DIS-AFFILIATED,Owner Manager,6955Taxi,Taxi,41.8781,-87.6298
FORECLOSURE,DODGE,CARAVAN,2012,GREEN,Compressed Natural Gas,Y,LIBRA TAXI INC,CHICAGO,IL,60645,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",540Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,"LUCKY SEVEN CHICAGO, INC.",CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,6409Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,SLSJETS III CAB CORP.,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,593Taxi,Taxi,41.8781,-87.6298
VIOLATION,TOYOTA,COROLLA,2017,WHITE,Compressed Natural Gas,N,PETANI CAB CORP,CHICAGO,IL,60659,Top Cab Association,Top Cab Corp.,1112Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,N,TRIA HACKING CORP.,CHICAGO,IL,60656,DIS-AFFILIATED,Owner Manager,6715Taxi,Taxi,41.8781,-87.6298
INACTIVE,DODGE,GRAND CARAVAN,2011,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619,none,none,13632Medicar,Medicar,41.8781,-87.6298
VIOLATION,FORD,ESCAPE,2010,WHITE,Compressed Natural Gas,N,LIBERTY EXPRESS III INC.,CHICAGO,IL,60641,DIS-AFFILIATED,Owner Manager,6418Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,N,"TUDOR CITY HOLDINGS, INC.",CHICAGO,IL,60641,DIS-AFFILIATED,Owner Manager,4980Taxi,Taxi,41.8781,-87.6298
SURRENDER,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,TAXI MEDALLION GROUPLLC SERIESXXIII,CHICAGO,IL,60618,DIS-AFFILIATED,Owner Manager,2433Taxi,Taxi,41.8781,-87.6298
INACTIVE,DODGE,GRAND CARAVAN,2011,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619,none,none,13634Medicar,Medicar,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,GALA CAB CORP.,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,250Taxi,Taxi,41.8781,-87.6298
VIOLATION,FORD,ESCAPE,2011,GREEN,Compressed Natural Gas,N,ARIES TAXI CAB INC,CHICAGO,IL,60645,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",6870Taxi,Taxi,41.8781,-87.6298
INACTIVE,DODGE,GRAND CARAVAN,2011,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619,none,none,13635Medicar,Medicar,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,"PRETTY RACHEL IN CHICAGO, INC.",CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,218Taxi,Taxi,41.8781,-87.6298
INACTIVE,DODGE,GRAND CARAVAN,2011,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619,none,none,13630Medicar,Medicar,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,JULY CAB CORP.,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,5196Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,N,MEDALLION FUNDING CHICAGO CORP V,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,707Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,BELKIDS TAXI LLC,CHICAGO,IL,60641,DIS-AFFILIATED,Owner Manager,2106Taxi,Taxi,41.8781,-87.6298
SURRENDER,DODGE,GRAND CARAVAN,2016,GREEN,Compressed Natural Gas,Y,NECT 33 LLC,CHICAGO,IL,60645,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",748Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,N,MEDALLION FUNDING CHICAGO CORP V,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,920Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,BROWN EYES CAB CORP.,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,5189Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,GREEN,Compressed Natural Gas,Y,NECT 33 LLC,CHICAGO,IL,60645,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",770Taxi,Taxi,41.8781,-87.6298
VIOLATION,DODGE,GRAND CARAVAN,2013,WHITE,Compressed Natural Gas,Y,GOODBAR TAXI CORP II,CHICAGO,IL,60612,DIS-AFFILIATED,Owner Manager,6236Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,N,DIAL CAB COMPANY,CHICAGO,IL,60656,DIS-AFFILIATED,Owner Manager,3142Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,AQUA ZONE CAB CO.,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,1714Taxi,Taxi,41.8781,-87.6298
SURRENDER,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,TAXI MEDALLION GROUPLLC SERIESXXIII,CHICAGO,IL,60618,DIS-AFFILIATED,Owner Manager,2422Taxi,Taxi,41.8781,-87.6298
INACTIVE,FORD,E350,2010,WHITE,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619,none,none,12505Medicar,Medicar,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,GREEN,Compressed Natural Gas,Y,NECT 11 LLC,CHICAGO,IL,60645,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",1222Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,GEM AND R CAB CORP,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,3062Taxi,Taxi,41.8781,-87.6298
VIOLATION,CHEVROLET,IMPALA,2009,WHITE,Compressed Natural Gas,N,UBOO CAB CORPORATION,CHICAGO,IL,60659,DIS-AFFILIATED,Owner Manager,4568Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2014,WHITE,Compressed Natural Gas,Y,AQUA ZONE CAB CO.,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,1899Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,"CHICAGO POLO VIII, INC.",CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,5319Taxi,Taxi,41.8781,-87.6298
VIOLATION,FORD,CROWN VICTORIA,2010,WHITE,Compressed Natural Gas,N,MCCAB I CORP.,CHICAGO,IL,60625,DIS-AFFILIATED,Owner Manager,2525Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,ZHANET CAB CORP,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,6258Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,JULY CAB CORP.,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,1775Taxi,Taxi,41.8781,-87.6298
INACTIVE,DODGE,GRAND CARAVAN,2011,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619,none,none,13598Medicar,Medicar,41.8781,-87.6298
INACTIVE,FORD,E350,2010,WHITE,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619,none,none,11882Medicar,Medicar,41.8781,-87.6298
VIOLATION,FORD,ESCAPE,2011,WHITE,Compressed Natural Gas,N,"STEPHENDAM , INC.",CHICAGO,IL,60641,DIS-AFFILIATED,Owner Manager,6660Taxi,Taxi,41.8781,-87.6298
INACTIVE,DODGE,GRAND CARAVAN,2011,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619,none,none,13599Medicar,Medicar,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,GERI'S CAB CORP.,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,260Taxi,Taxi,41.8781,-87.6298
VIOLATION,FORD,ESCAPE,2010,GREEN,Compressed Natural Gas,N,NECT 6 INC.,CHICAGO,IL,60645,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",6762Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2014,WHITE,Compressed Natural Gas,Y,"CHICAGO POLO XI, INC.",CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,772Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,MOISTURE II HACKING CORP.,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,4620Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,CARMELO CAB CORP.,CHICAGO,IL,60656,DIS-AFFILIATED,Owner Manager,6320Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,CHICAGO SEVEN INC,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,5077Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,"I & B MIDWEST ENTERPRISE, INC.",CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,2436Taxi,Taxi,41.8781,-87.6298
VIOLATION,FORD,ESCAPE,2012,WHITE,Compressed Natural Gas,N,MCCAB II CORP.,CHICAGO,IL,60656,DIS-AFFILIATED,Owner Manager,2544Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,"LUCKY SEVEN CHICAGO ONE, INC.",CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,2364Taxi,Taxi,41.8781,-87.6298
VIOLATION,FORD,TRANSIT CONNECT,2012,WHITE,Compressed Natural Gas,N,EMMANUEL O ORJI,CHICAGO,IL,60653,DIS-AFFILIATED,Owner Manager,3918Taxi,Taxi,41.8781,-87.6298
INACTIVE,DODGE,GRAND CARAVAN,2011,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619,none,none,13636Medicar,Medicar,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,BELKIDS TAXI LLC,CHICAGO,IL,60641,DIS-AFFILIATED,Owner Manager,4460Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,N,"CHICAGO POLO X, INC.",CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,1966Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,JIREH TRANSPORTATION SERVICES CORP.,CHICAGO,IL,60641,DIS-AFFILIATED,Owner-Operator,6721Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,N,LIBERTY EXPRESS III INC.,CHICAGO,IL,60641,DIS-AFFILIATED,Owner Manager,617Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,GREEN,Compressed Natural Gas,Y,NECT 33 LLC,CHICAGO,IL,60645,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",755Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,ELSTON ELEVEN LLC,CHICAGO,IL,60612,DIS-AFFILIATED,Owner Manager,4423Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,GALA CAB CORP.,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,246Taxi,Taxi,41.8781,-87.6298
INACTIVE,FORD,E350,2010,WHITE,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619,none,none,12517Medicar,Medicar,41.8781,-87.6298
INACTIVE,DODGE,GRAND CARAVAN,2011,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619,none,none,13597Medicar,Medicar,41.8781,-87.6298
VIOLATION,FORD,ESCAPE,2011,WHITE,Compressed Natural Gas,N,NADIA CHICAGO INC.,CHICAGO,IL,60641,DIS-AFFILIATED,Owner Manager,6571Taxi,Taxi,41.8781,-87.6298
INACTIVE,DODGE,GRAND CARAVAN,2011,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619,none,none,13633Medicar,Medicar,41.8781,-87.6298
VIOLATION,DODGE,GRAND CARAVAN,2012,GREEN,Compressed Natural Gas,Y,NECT 2 INC.,CHICAGO,IL,60645,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",3521Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,GREEN,Compressed Natural Gas,Y,NECT 11 LLC,CHICAGO,IL,60645,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",96Taxi,Taxi,41.8781,-87.6298
INACTIVE,DODGE,GRAND CARAVAN,2011,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619,none,none,13631Medicar,Medicar,41.8781,-87.6298
VIOLATION,FORD,ESCAPE,2010,WHITE,Compressed Natural Gas,N,LIBERTY EXPRESS III INC.,CHICAGO,IL,60641,DIS-AFFILIATED,Owner Manager,2931Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,N,"CHICAGO POLO IX, INC.",CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,3864Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,GREEN,Compressed Natural Gas,Y,NECT 11 LLC,CHICAGO,IL,60645,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",1279Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,CHICAGO SEVEN INC,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,469Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,"LUCKY SEVEN CHICAGO, INC.",CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,4850Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,GEM AND R CAB CORP,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,4894Taxi,Taxi,41.8781,-87.6298
SURRENDER,DODGE,GRAND CARAVAN,2012,BLUE/WHITE,Compressed Natural Gas,Y,MCCAB XII CORP.,CHICAGO,IL,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc.",5533Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,N & N TRANSPORTATION INC.,CHICAGO,IL,60625,DIS-AFFILIATED,Owner Manager,3076Taxi,Taxi,41.8781,-87.6298
FORECLOSURE,VPG,MV-1,2012,GREEN,Compressed Natural Gas,Y,LIBRA TAXI INC,CHICAGO,IL,60645,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",542Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,N,SNOWSTORM II HACKING CORP.,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,1413Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,N & N TRANSPORTATION INC.,CHICAGO,IL,60625,DIS-AFFILIATED,Owner Manager,1686Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,N & N TRANSPORTATION INC.,CHICAGO,IL,60625,DIS-AFFILIATED,Owner Manager,3079Taxi,Taxi,41.8781,-87.6298
ACTIVE,CADILLAC,ESCALADE,2024,BLACK,Diesel,N,HOLO BLACK LUXURY INC,CHICAGO,IL,60656,none,none,70706Livery,Livery,41.8781,-87.6298
INACTIVE,FREIGHLINE,TROLLEY,2005,RED,Diesel,N,SCT USA INC,CHICAGO,IL,60630,none,none,18536Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,CHAMPION,TROLLEY,2001,RED,Diesel,N,SCT USA INC,CHICAGO,IL,60630,none,none,13922Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,THOMAS,TROLLEY,2005,GREEN,Diesel,N,SCT USA INC,CHICAGO,IL,60630,none,none,16000Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,FREIGHTLINER,TRANSIT BUS,2002,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609,none,none,19210Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,THOMAS,TROLLEY,2005,GREEN,Diesel,N,SCT USA INC,CHICAGO,IL,60630,none,none,16003Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,FREIGHTLINER,X LINE SHUTTLE,2000,GREEN,Diesel,N,SCT USA INC,CHICAGO,IL,60630,none,none,50000Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,CHAMPION,TROLLEY,1993,ORANGE,Diesel,N,SCT USA INC,CHICAGO,IL,60630,none,none,15065Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,MCI,4505,2007,BLACK/WHITE/RED/BLUE,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609,none,none,19175Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,CHAMPION,TROLLEY,2000,MAROON,Diesel,N,SCT USA INC,CHICAGO,IL,60630,none,none,1000009Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,,,2002,RED/CREAM,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609,none,none,79331Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
ACTIVE,MERCEDES,SPRINTER,2013,WHITE,Diesel,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ELMHURST,IL,60126,none,none,4893Ambulance,Ambulance,41.8991,-87.9403
INACTIVE,ALEXANDER DENNIS LTD,ENVIRO 400,2013,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609,none,none,16783Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,GILLIG,TRANSIT,2016,MAROON,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609,none,none,20614Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,CHAMPION,TROLLEY,1998,RED,Diesel,N,SCT USA INC,CHICAGO,IL,60630,none,none,1000013Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
ACTIVE,MERCEDES,SPRINTER,2012,WHITE/RED,Diesel,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ELMHURST,IL,60126,none,none,4885Ambulance,Ambulance,41.8991,-87.9403
INACTIVE,,,2006,YELLOW/BLUE,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609,none,none,23340Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,FREIGHTLINER,GLAVAL LEGACY,2015,BLACK,Diesel,N,JKS LIMOUSINES LLC.,CHICAGO,IL,60602,none,none,10714Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,INTL,CARRYALL,1997,WHITE,Diesel,N,SCT USA INC,CHICAGO,IL,60630,none,none,13754Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,LEYLAND,OLYMPIAN,1988,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609,none,none,17878Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,,,2006,RED/CREAM,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609,none,none,91828Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,CHAMPION,TROLLEY,1998,RED,Diesel,N,SCT USA INC,CHICAGO,IL,60630,none,none,15052Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,ALEXANDER DENNIS LTD,ENVIPO400,2012,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609,none,none,16787Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,CHEVROLET,TROLLEY,1998,RED,Diesel,N,SCT USA INC,CHICAGO,IL,60630,none,none,17971Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,CHAMPION,TROLLEY,1990,GREEN,Diesel,N,SCT USA INC,CHICAGO,IL,60630,none,none,17291Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
ACTIVE,MERCEDES,SPRINTER,2015,WHITE,Diesel,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ELMHURST,IL,60126,none,none,5655Ambulance,Ambulance,41.8991,-87.9403
INACTIVE,FREIGHLINE,M2 106,2014,BLACK,Diesel,N,Amida Inc,CHICAGO,IL,60656,none,none,14086Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
RESERVED,DODGE,AMBULANCE,2016,RED/BLUE,Diesel,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ELMHURST,IL,60126,none,none,5219Ambulance,Ambulance,41.8991,-87.9403
INACTIVE,ALEXDER DENNIS LTD,E400H,2014,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609,none,none,19629Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,CHAMPION,TROLLEY,2000,MAROON,Diesel,N,SCT USA INC,CHICAGO,IL,60630,none,none,14357Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,FREIGHLINE,X LINE SHUTTLE,2000,GREEN,Diesel,N,SCT USA INC,CHICAGO,IL,60630,none,none,13760Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
